Fanpage,Page_Id,Post_Id,Message,Type,Date,Reactions,Likes,Comments,Shares,Fans,Page,ER
European Commission,107898832590939,107898832590939_601442878687512,"Pedaling our way to better health, a cleaner planet, and more affordable transportation has never been easier! The summer of 2023 will be a milestone for cycling. We will propose a European Declaration on Cycling, inviting the European Parliament and the Council of the European Union to sign up for it. We want to ensure that all our European initiatives, wherever possible, include a cycling dimension; supporting sustainable urban mobility plans, doubling the number of safe cycling infrastructures or creating more bicycle parking facilities. By taking action to promote cycling, we’re not only helping the environment, but we’re also supporting a growing biking industry. #DYK that 8 out of 10 electric bikes sold in Europe are made in Europe? ?? Let's work together to support the growth of the biking industry while creating a more sustainable and healthy future for all. #EUGreenDeal",photo,2023-04-09 10:30:02 UTC,1679,1358,188,133,1400000,Facebook,0.119928571
European Commission,107898832590939,107898832590939_603330771832056,"Russia's attack on the Kramatorsk train station was shocking. One year ago, 61 people were killed and scores of others were injured, many of whom critically. What happened on 8 April 2022 was a brutal, indiscriminate bombing of innocent civilians, including many children, fleeing amid fears of another Russian onslaught against their homes and country. Kramatorsk, Bucha and other Ukrainian towns and villages have been part of the Kremlin's deplorable destruction tactics. Putin must be held accountable for his crimes. Not only do we want Russia's criminal plan to fail. We also want justice for Ukraine and for Ukrainians. We stand with the victims of these atrocities, we #StandWithUkraine",photo,2023-04-08 15:30:00 UTC,2634,1798,623,213,1400000,Facebook,0.188142857
European Commission,107898832590939,107898832590939_601998988631901,"Discrimination has no place in our union. On International Roma Day, we celebrate the rich diversity, language, art and culture of the Roma. They are Europe's largest ethnic minority with a population of around 10-12 million. Although there have been some improvements in education, Roma still face marginalisation and widespread discrimination, leading to socio-economic exclusion in everyday life. This year, we are proud to work with the Council of Europe on the EQUIROM project to combat stereotypes about Roma in the media. We believe that every individual deserves equal treatment and respect, and we are committed to turning this vision into reality for all in our #UnionOfEquality. #EU4Roma #UnitedInDiversity",photo,2023-04-08 10:30:01 UTC,1313,981,190,142,1400000,Facebook,0.093785714
European Commission,107898832590939,107898832590939_602122281952905,"IRIS ² is the latest addition to our constellations of satellites. IRIS ² has a Secure Connectivity system which will strengthen our resilience and reaction capacity against cyber threats. It also bring connectivity to the entire Europe, including zones that do not currently have signals at all. Together with our existing space programmes Galileo and Copernicus, IRIS² creates a sovereign and secure communication service for our Union and its partners. EU satellite constellations also help fight climate change: Copernicus, for example, collects data on climate, land and oceans for a more sustainable future. Here are 4 pictures of EU capital cities taken by Copernicus! Share their names with us in the comments! #EUSpace #EuropeanUnion",photo,2023-04-07 15:30:00 UTC,327,250,39,38,1400000,Facebook,0.023357143
European Commission,107898832590939,107898832590939_602005035297963,"Today is World Health Day. But no matter the day, we continue to take steps to build a more resilient Health Union for the future. A Union that ensures access to safe, effective, and affordable healthcare for all EU citizens. To achieve this goal, we have launched several initiatives: ?? the Pharmaceutical Strategy for Europe which will improve access to safe and affordable medicines and treatment, ??️ the Europe's Beating Cancer Plan which will monitor inequalities in access to cancer prevention and care and support efforts to improve patients' access to healthcare, ?? the EU4Health programme with an unprecedented budget of €5.3 billion, which will address inequalities across EU countries and improve access. ?? our Health Emergency Preparedness and Response Authority with the mission to prevent, detect, and rapidly respond to health emergencies. #WorldHealthDay #HealthUnion",photo,2023-04-07 09:30:00 UTC,635,444,103,88,1400000,Facebook,0.045357143
European Commission,107898832590939,107898832590939_602717371893396,"EU-China relations are extensive and complex. How we manage them will impact EU prosperity and security. This relationship – and its future – have been at the core of President Ursula von der Leyen’s visit to Beijing. With Premier Li, President von der Leyen discussed how to rebalance our trade and mentioned during her press conference the possibility to resume our High Level Economic and Trade Dialogue to engage on this. The meeting with President Xi and President Emmanuel Macron has been the opportunity to address imbalances in our economic relations and look at cooperation on pressing global issues like Russia’s war and global change climate. Together with China, we have the duty to uphold and promote the rules-based international order. Starting with the end of the Russian invasion and withdrawal of its troops. President von der Leyen highlighted the need to address imbalances and risks stemming from dependencies and export of sensitive tech, and to remain vigilant on China’s actions on Ukraine. She also stressed our concerns on human rights. #EuropeanUnion",photo,2023-04-06 17:50:35 UTC,4179,3022,730,427,1400000,Facebook,0.2985
European Commission,107898832590939,107898832590939_602534471911686,"Did you know that 5.8 million tonnes of textiles are discarded every year in the EU? That's 11.3 kg per person! Textile consumption is one of the top three pressures on water and land use. The sector has also the fourth highest impact on the environment and climate change, after food, housing, and transport. We need to move towards a more sustainable and circular textiles sector. It’s part of our Circular Economy Action Plan that covers the whole economy. Our proposals will ensure that by 2030, all textile products placed on the EU market are long-lived and recyclable and produced in respect of social rights and the environment. #ReFashionNow",photo,2023-04-06 10:00:04 UTC,989,760,119,110,1400000,Facebook,0.070642857
European Commission,107898832590939,107898832590939_602025091962624,"All the single bees! All the single bees! Now put your wings up! ???? We may need to work on the lyrics, but we're serious about protecting our pollinating friends. With over 1 million citizens supporting the European Citizens' Initiative, the call to phase out synthetic pesticides by 2035, restore biodiversity, and support farmers in transitioning to sustainable practices is loud and clear. We now call on the European Parliament and Council to quickly turn these actions into laws while maintaining high targets for the Common Agricultural Policy and European Green Deal. By doing so, we can protect our food supply, our environment and the future of our pollinators. #EUTakeTheInitiative #Sustainability #SaveTheBees",photo,2023-04-05 15:30:00 UTC,981,763,96,122,1400000,Facebook,0.070071429
European Commission,107898832590939,107898832590939_601410912024042,War criminals must be held accountable for their deeds. Putin must be held accountable for his crimes. The EU will continue to spearhead efforts to ensure accountability by: ?? Working on the collection of evidence; ?? Bringing prosecutors together; ?? Setting up an International Coordination Centre for the Prosecution of the Crime of Aggression; ?? Supporting the creation of a dedicated tribunal if that's what it takes. Not only do we want Russia's criminal plan to fail. We also want justice for Ukraine and for Ukrainians. #StandWithUkraine,photo,2023-04-05 09:30:00 UTC,2757,1821,730,206,1400000,Facebook,0.196928571
European Commission,107898832590939,107898832590939_601461348685665,"?? Missed your jump over the mushroom? ?? Splatted next to your target? ?? Drifted your kart outside the track? This shall happen no more! We've recently contacted Nintendo to address the recurring technical problem with defective Switch controllers, and we're happy to report that they've agreed to offer all consumers the right to repair, free of charge, even beyond the legal guarantee! This will prevent the disposal of unrepaired controllers and unnecessary waste. ?? So don't wait, jump into action and get your controllers repaired for free. Let's-a go! #EuropeanUnion #Right2Repair #Nintendo #Switch",photo,2023-04-04 13:21:10 UTC,1353,1052,171,130,1400000,Facebook,0.096642857
